"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"EG000062463","HURGUADA, EG","2024-02-01","58","66","50"
"EG000062463","HURGUADA, EG","2024-02-02","58","69","47"
"EG000062463","HURGUADA, EG","2024-02-03","61","71","50"
"EG000062463","HURGUADA, EG","2024-02-04","61","71",
"EG000062463","HURGUADA, EG","2024-02-05","62","71","54"
"EG000062463","HURGUADA, EG","2024-02-07","66","77",
"EG000062463","HURGUADA, EG","2024-02-08","67","80","58"
"EG000062463","HURGUADA, EG","2024-02-09","67","78","60"
"EG000062463","HURGUADA, EG","2024-02-10","67","76","58"
"EG000062463","HURGUADA, EG","2024-02-11","67","78",
"EG000062463","HURGUADA, EG","2024-02-12","66","78","51"
"EG000062463","HURGUADA, EG","2024-02-13","68","79","55"
"EG000062463","HURGUADA, EG","2024-02-14","67","77",
"EG000062463","HURGUADA, EG","2024-02-16","64","76",
"EG000062463","HURGUADA, EG","2024-02-18","65","75",
"EG000062463","HURGUADA, EG","2024-02-19","64","73","57"
"EG000062463","HURGUADA, EG","2024-02-21","66","76","57"
"EG000062463","HURGUADA, EG","2024-02-22","66","74","56"
"EG000062463","HURGUADA, EG","2024-02-23","68","74",
"EG000062463","HURGUADA, EG","2024-02-24","71","80","63"
"EG000062463","HURGUADA, EG","2024-02-25","67","78","58"
"EG000062463","HURGUADA, EG","2024-02-26","68","83","55"
"EG000062463","HURGUADA, EG","2024-02-27","67","74","59"
"EG000062463","HURGUADA, EG","2024-02-28","68","79","60"
"EG000062463","HURGUADA, EG","2024-02-29","70","82","59"
"EG000062463","HURGUADA, EG","2024-03-01","73","83","58"
"EG000062463","HURGUADA, EG","2024-03-02","72","85","60"
"EG000062463","HURGUADA, EG","2024-03-03","69","78",
"EG000062463","HURGUADA, EG","2024-03-04","69","79","60"
"EG000062463","HURGUADA, EG","2024-03-05","70","82",
"EG000062463","HURGUADA, EG","2024-03-08","69","78",
"EG000062463","HURGUADA, EG","2024-03-09","69","79",
"EG000062463","HURGUADA, EG","2024-03-10","70","81","62"
"EG000062463","HURGUADA, EG","2024-03-11","68","79","59"
"EG000062463","HURGUADA, EG","2024-03-13","73","87",
"EG000062463","HURGUADA, EG","2024-03-14","76","84","67"
"EG000062463","HURGUADA, EG","2024-03-15","71","81","63"
"EG000062463","HURGUADA, EG","2024-03-16","72","82","61"
"EG000062463","HURGUADA, EG","2024-03-18","70","78",
"EG000062463","HURGUADA, EG","2024-03-19","68","76","60"
"EG000062463","HURGUADA, EG","2024-03-20","68","80","57"
"EG000062463","HURGUADA, EG","2024-03-21","75","87","62"
"EG000062463","HURGUADA, EG","2024-03-22","69","79","62"
"EG000062463","HURGUADA, EG","2024-03-23","69","77","55"
"EG000062463","HURGUADA, EG","2024-03-24","67","76","58"
"EG000062463","HURGUADA, EG","2024-03-26","67","83",
"EG000062463","HURGUADA, EG","2024-04-01","79","96",
"EG000062463","HURGUADA, EG","2024-04-03","81","96","72"
"EG000062463","HURGUADA, EG","2024-04-04","83","96","73""
"EG000062463","HURGUADA, EG","2024-04-06","78","85","71"
"EG000062463","HURGUADA, EG","2024-04-07","75","83","68"
"EG000062463","HURGUADA, EG","2024-04-08","75","87","65"
"EG000062463","HURGUADA, EG","2024-04-11","76","86","67"
"EG000062463","HURGUADA, EG","2024-04-12","78","88","67"
"EG000062463","HURGUADA, EG","2024-04-13","78","87",
"EG000062463","HURGUADA, EG","2024-04-15","79","89","71"
"EG000062463","HURGUADA, EG","2024-04-16","80","93","69"
"EG000062463","HURGUADA, EG","2024-04-18","84","96",
"EG000062463","HURGUADA, EG","2024-04-19","82","91","75"
"EG000062463","HURGUADA, EG","2024-04-20","81","91","71"
"EG000062463","HURGUADA, EG","2024-04-21","82","92","72"
"EG000062463","HURGUADA, EG","2024-04-22","81","93","71"
"EG000062463","HURGUADA, EG","2024-04-23","85","101",
"EG000062463","HURGUADA, EG","2024-04-24","87","102","73"
"EG000062463","HURGUADA, EG","2024-04-25","86","100","73"
"EG000062463","HURGUADA, EG","2024-04-26","83","93",
"EG000062463","HURGUADA, EG","2024-04-27","80","90","73"
"EG000062463","HURGUADA, EG","2024-04-28","80","87","73"
"EG000062463","HURGUADA, EG","2024-04-29","80","88","72"
"EG000062463","HURGUADA, EG","2024-04-30","80","87","72"
"EG000062463","HURGUADA, EG","2024-05-02","83","91","76"
"EG000062463","HURGUADA, EG","2024-05-03","87","98","75"
"EG000062463","HURGUADA, EG","2024-05-04","83","91","74"
"EG000062463","HURGUADA, EG","2024-05-05","85","96",
"EG000062463","HURGUADA, EG","2024-05-06","78","85","70"
"EG000062463","HURGUADA, EG","2024-05-08","78","91",
"EG000062463","HURGUADA, EG","2024-05-09","82","100",
"EG000062463","HURGUADA, EG","2024-05-11","84","98",
"EG000062463","HURGUADA, EG","2024-05-12","83","90","75"
"EG000062463","HURGUADA, EG","2024-05-13","81","89",
"EG000062463","HURGUADA, EG","2024-05-14","77","86","69"
"EG000062463","HURGUADA, EG","2024-05-15","80","88","71"
"EG000062463","HURGUADA, EG","2024-05-17","85","96","75"
"EG000062463","HURGUADA, EG","2024-05-18","93","108","80"
"EG000062463","HURGUADA, EG","2024-05-19","93","100","82"
"EG000062463","HURGUADA, EG","2024-05-20","95","108","84"
"EG000062463","HURGUADA, EG","2024-05-21","97","109","82"
"EG000062463","HURGUADA, EG","2024-05-22","93","103","84"
"EG000062463","HURGUADA, EG","2024-05-23","94","109","84"
"EG000062463","HURGUADA, EG","2024-05-25","85","93","77"
"EG000062463","HURGUADA, EG","2024-05-26","86","95","77"
"EG000062463","HURGUADA, EG","2024-05-27","93","103","79"
"EG000062463","HURGUADA, EG","2024-05-28","88","96","81"
"EG000062463","HURGUADA, EG","2024-05-29","85","94",
"EG000062463","HURGUADA, EG","2024-05-30","84","93","74"
"EG000062463","HURGUADA, EG","2024-06-02","91","100",
"EG000062463","HURGUADA, EG","2024-06-03","89","98",
"EG000062463","HURGUADA, EG","2024-06-04","91","102","79"
"EG000062463","HURGUADA, EG","2024-06-05","93","103",
"EG000062463","HURGUADA, EG","2024-06-06","95","105","83"
"EG000062463","HURGUADA, EG","2024-06-10","91","100","82"
"EG000062463","HURGUADA, EG","2024-06-11","92","101","83"
"EG000062463","HURGUADA, EG","2024-06-12","92","101","83"
"EG000062463","HURGUADA, EG","2024-06-13","94","105","82"
"EG000062463","HURGUADA, EG","2024-06-15","99","114","84"
"EG000062463","HURGUADA, EG","2024-06-16","96","105","86"
"EG000062463","HURGUADA, EG","2024-06-17","94","103","87"
"EG000062463","HURGUADA, EG","2024-06-18","92","100",
"EG000062463","HURGUADA, EG","2024-06-22","97","106","86"
"EG000062463","HURGUADA, EG","2024-06-23","98","109","70"
"EG000062463","HURGUADA, EG","2024-06-24","98","109",
"EG000062463","HURGUADA, EG","2024-06-25","97","108","88"
"EG000062463","HURGUADA, EG","2024-06-26","96","105","71"
"EG000062463","HURGUADA, EG","2024-06-27","95","102","85"
"EG000062463","HURGUADA, EG","2024-06-28","96","106","87"
"EG000062463","HURGUADA, EG","2024-06-29","97","108",
"EG000062463","HURGUADA, EG","2024-06-30","95","106","85"
"EG000062463","HURGUADA, EG","2024-07-01","93","101",
"EG000062463","HURGUADA, EG","2024-07-02","94","104",
"EG000062463","HURGUADA, EG","2024-07-03","93","103","84"
"EG000062463","HURGUADA, EG","2024-07-04","93","104","84"
"EG000062463","HURGUADA, EG","2024-07-05","94","106","80"
"EG000062463","HURGUADA, EG","2024-07-06","94","102","85"
"EG000062463","HURGUADA, EG","2024-07-07","91","99","84"
"EG000062463","HURGUADA, EG","2024-07-08","93","103",
"EG000062463","HURGUADA, EG","2024-07-09","94","105","87"
"EG000062463","HURGUADA, EG","2024-07-10","94","104","85"
"EG000062463","HURGUADA, EG","2024-07-11","96","107","85"
"EG000062463","HURGUADA, EG","2024-07-12","100","112","87"
"EG000062463","HURGUADA, EG","2024-07-16","97","107","87"
"EG000062463","HURGUADA, EG","2024-07-18","96","106","87"
"EG000062463","HURGUADA, EG","2024-07-20","96","107","85"
