"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USC00503160","FORT KNOX MINE, AK US","2024-01-01","0.00",,"13","2","13"
"USC00503160","FORT KNOX MINE, AK US","2024-01-02","0.00",,"16","10","10"
"USC00503160","FORT KNOX MINE, AK US","2024-01-03","0.00",,"16","0","0"
"USC00503160","FORT KNOX MINE, AK US","2024-01-04","0.00",,"3","-1","0"
"USC00503160","FORT KNOX MINE, AK US","2024-01-05","0.00",,"4","-3","-3"
"USC00503160","FORT KNOX MINE, AK US","2024-01-06","0.00",,"4","-5","2"
"USC00503160","FORT KNOX MINE, AK US","2024-01-07","0.00",,"26","-5","22"
"USC00503160","FORT KNOX MINE, AK US","2024-01-08","0.20",,"26","-5","12"
"USC00503160","FORT KNOX MINE, AK US","2024-01-09","0.03",,"26","-5","0"
"USC00503160","FORT KNOX MINE, AK US","2024-01-10","0.00",,"0","-8","-4"
"USC00503160","FORT KNOX MINE, AK US","2024-01-11","0.00",,"10","-7","2"
"USC00503160","FORT KNOX MINE, AK US","2024-01-12","0.00",,"10","-7","2"
"USC00503160","FORT KNOX MINE, AK US","2024-01-13","0.00",,"6","-6","0"
"USC00503160","FORT KNOX MINE, AK US","2024-01-14","0.12",,"6","-6","6"
"USC00503160","FORT KNOX MINE, AK US","2024-01-15","0.12",,"17","4","17"
"USC00503160","FORT KNOX MINE, AK US","2024-01-16","0.13",,"24","4","16"
"USC00503160","FORT KNOX MINE, AK US","2024-01-17","0.00",,"24","1","3"
"USC00503160","FORT KNOX MINE, AK US","2024-01-18","0.00",,"24","-2","9"
"USC00503160","FORT KNOX MINE, AK US","2024-01-19","0.00",,"24","-2","4"
"USC00503160","FORT KNOX MINE, AK US","2024-01-20","0.00",,"8","-9","-8"
"USC00503160","FORT KNOX MINE, AK US","2024-01-21","0.00",,"-6","-19","-18"
"USC00503160","FORT KNOX MINE, AK US","2024-01-22","0.00",,"-13","-20","-15"
"USC00503160","FORT KNOX MINE, AK US","2024-01-23","0.00",,"-9","-24","-24"
"USC00503160","FORT KNOX MINE, AK US","2024-01-24","0.01",,"-8","-25","-20"
"USC00503160","FORT KNOX MINE, AK US","2024-01-25","0.00",,"-16","-23","-20"
"USC00503160","FORT KNOX MINE, AK US","2024-01-26","0.00",,"-17","-23","-20"
"USC00503160","FORT KNOX MINE, AK US","2024-01-27","0.00",,"-21","-40","-33"
"USC00503160","FORT KNOX MINE, AK US","2024-01-28","0.01",,"-15","-40","-22"
"USC00503160","FORT KNOX MINE, AK US","2024-01-29","0.02",,"-17","-26","-23"
"USC00503160","FORT KNOX MINE, AK US","2024-01-30","0.01",,"-19","-26","-22"
"USC00503160","FORT KNOX MINE, AK US","2024-01-31","0.00",,"-20","-27","-24"
