STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",1/1/2025,0,40.64516129,43,32
USW00025333,"SITKA AIRPORT, AK US",1/2/2025,0,40.75,39,32
USW00025333,"SITKA AIRPORT, AK US",1/3/2025,0.03,40.93103448,40,32
USW00025333,"SITKA AIRPORT, AK US",1/4/2025,0.01,41.10714286,43,37
USW00025333,"SITKA AIRPORT, AK US",1/5/2025,0.1,41.14814815,50,39
USW00025333,"SITKA AIRPORT, AK US",1/6/2025,0.82,41.01923077,54,45
USW00025333,"SITKA AIRPORT, AK US",1/7/2025,0.55,40.68,47,43
USW00025333,"SITKA AIRPORT, AK US",1/8/2025,0.1,40.5,51,43
USW00025333,"SITKA AIRPORT, AK US",1/9/2025,1.31,40.2173913,52,44
USW00025333,"SITKA AIRPORT, AK US",1/10/2025,0.57,39.86363636,45,41
USW00025333,"SITKA AIRPORT, AK US",1/11/2025,0.33,39.71428571,47,42
USW00025333,"SITKA AIRPORT, AK US",1/12/2025,0.38,39.475,49,38
USW00025333,"SITKA AIRPORT, AK US",1/13/2025,0.96,39.26315789,51,42
USW00025333,"SITKA AIRPORT, AK US",1/14/2025,0.17,38.86111111,48,38
USW00025333,"SITKA AIRPORT, AK US",1/15/2025,0.6,38.61764706,42,35
USW00025333,"SITKA AIRPORT, AK US",1/16/2025,0.06,38.625,41,35
USW00025333,"SITKA AIRPORT, AK US",1/17/2025,0.03,38.66666667,41,37
USW00025333,"SITKA AIRPORT, AK US",1/18/2025,0.04,38.64285714,42,35
USW00025333,"SITKA AIRPORT, AK US",1/19/2025,0.02,38.65384615,45,36
USW00025333,"SITKA AIRPORT, AK US",1/20/2025,0.54,38.5,46,39
USW00025333,"SITKA AIRPORT, AK US",1/21/2025,0.04,38.13636364,45,33
USW00025333,"SITKA AIRPORT, AK US",1/22/2025,0.34,38.05,47,42
USW00025333,"SITKA AIRPORT, AK US",1/23/2025,0.26,37.33333333,45,42
USW00025333,"SITKA AIRPORT, AK US",1/24/2025,0.03,36.5625,45,41
USW00025333,"SITKA AIRPORT, AK US",1/25/2025,0,35.64285714,42,38
USW00025333,"SITKA AIRPORT, AK US",1/26/2025,0,34.91666667,44,36
USW00025333,"SITKA AIRPORT, AK US",1/27/2025,0.71,33.9,45,39
USW00025333,"SITKA AIRPORT, AK US",1/28/2025,0.11,31.875,43,35
USW00025333,"SITKA AIRPORT, AK US",1/29/2025,0.23,29.5,37,31
USW00025333,"SITKA AIRPORT, AK US",1/30/2025,0.4,27.25,35,24
USW00025333,"SITKA AIRPORT, AK US",1/31/2025,0,25,30,20
