latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
38.78887,26.92275,325.6,0.73,0.76,2021-07-15,0112,1,VIIRS,n,2.0NRT,295,3,N
38.78825,26.9245,316.7,0.73,0.76,2021-07-15,0112,1,VIIRS,n,2.0NRT,294.9,3.1,N
38.73665,26.94287,314.6,0.73,0.76,2021-07-15,0112,1,VIIRS,n,2.0NRT,294.9,4.6,N
41.02253,28.55989,302.5,0.74,0.76,2021-07-15,0112,1,VIIRS,n,2.0NRT,291.2,1.4,N
37.73514,38.83144,347.8,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,302.5,8.4,D
37.74163,38.82864,367,0.68,0.74,2021-07-15,0912,1,VIIRS,h,2.0NRT,305.5,13.4,D
37.74645,38.84385,340.5,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,306.1,10.3,D
37.67384,42.68969,337.2,0.44,0.62,2021-07-15,0912,1,VIIRS,n,2.0NRT,305.3,5.2,D
37.74405,38.83627,336.8,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,305.4,10.3,D
37.76038,38.85192,337,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,304.4,9.5,D
37.14742,38.22587,337.1,0.77,0.77,2021-07-15,0912,1,VIIRS,n,2.0NRT,305.3,3.5,D
37.74952,38.84059,333.9,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,306.3,8,D
37.75175,38.84777,337.7,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,307.2,8,D
37.73819,38.82783,345.9,0.69,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,304,14.4,D
37.13991,39.73414,335.1,0.64,0.72,2021-07-15,0912,1,VIIRS,n,2.0NRT,302.5,5.9,D
37.74061,38.8356,367,0.68,0.74,2021-07-15,0912,1,VIIRS,h,2.0NRT,305.2,14.4,D
37.67823,42.68358,333.7,0.44,0.62,2021-07-15,0912,1,VIIRS,l,2.0NRT,306.1,3.1,D
37.65552,42.6893,339.9,0.44,0.62,2021-07-15,0912,1,VIIRS,l,2.0NRT,310.3,3.9,D
37.73756,38.83906,342.2,0.68,0.74,2021-07-15,0912,1,VIIRS,n,2.0NRT,303,8.5,D
36.21343,33.21417,347.7,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,316.7,7.5,D
36.21738,33.24418,367,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,334.1,33.4,D
36.22079,33.24345,353.8,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,314.9,16.9,D
36.22022,33.23914,356.5,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,319.8,16.9,D
36.21966,33.23492,344.9,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,319.7,22.4,D
36.22365,33.23859,356.3,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,319.9,16.9,D
36.22192,33.22554,345.4,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,318.9,13.6,D
36.22077,33.21682,344.3,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,318.2,74.5,D
36.22308,33.23427,351,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,328.6,22.4,D
36.2225,33.22994,351.5,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,329.3,22.4,D
36.2238,33.24035,348.5,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,313.9,12.6,D
36.22209,33.22735,348.7,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,323.3,18.3,D
36.22323,33.23604,351.6,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,326.9,39.4,D
36.22266,33.23171,351,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,329.9,39.4,D
36.22038,33.21427,367,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,325.7,30.7,D
36.22379,33.21365,367,0.41,0.37,2021-07-15,1054,1,VIIRS,h,2.0NRT,324,30.7,D
36.22493,33.22237,349.9,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,322.2,18.3,D
36.22551,33.22677,350.5,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,335,18.3,D
36.22721,33.21314,367,0.41,0.37,2021-07-15,1054,1,VIIRS,h,2.0NRT,341.3,34.9,D
36.22836,33.22184,352.1,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,322.2,17.8,D
36.22894,33.22623,367,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,334,17.8,D
36.23238,33.22581,347.8,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,321.3,17.8,D
36.23179,33.22134,355.1,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,324.5,17.8,D
36.2312,33.21691,352.1,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,319.8,34.9,D
36.23063,33.21249,355.5,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,322.3,34.9,D
36.23522,33.22083,340.3,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,315.1,4.7,D
36.73681,36.21064,340.9,0.54,0.42,2021-07-15,1054,1,VIIRS,n,2.0NRT,310,10.2,D
36.53293,33.25225,337.6,0.42,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,311.6,2.3,D
37.41739,41.98831,338.6,0.38,0.59,2021-07-15,1054,1,VIIRS,n,2.0NRT,305.8,2.8,D
37.42282,41.9882,340.4,0.38,0.59,2021-07-15,1054,1,VIIRS,n,2.0NRT,304.5,5.1,D
36.98703,35.75649,335.9,0.52,0.42,2021-07-15,1054,1,VIIRS,l,2.0NRT,308.8,13,D
37.0398,36.1802,344.4,0.55,0.42,2021-07-15,1054,1,VIIRS,n,2.0NRT,308.4,13,D
37.07487,35.23261,338.7,0.5,0.41,2021-07-15,1054,1,VIIRS,l,2.0NRT,309.8,47.5,D
36.20326,33.24308,347.7,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,311.3,47,D
37.14193,35.55523,350,0.51,0.41,2021-07-15,1054,1,VIIRS,n,2.0NRT,318.1,13.4,D
37.36876,37.20599,345,0.41,0.45,2021-07-15,1054,1,VIIRS,n,2.0NRT,313.1,24.1,D
37.36789,37.19688,352.1,0.41,0.45,2021-07-15,1054,1,VIIRS,n,2.0NRT,320,18.2,D
37.36745,37.19231,347.9,0.41,0.45,2021-07-15,1054,1,VIIRS,n,2.0NRT,313.8,18.2,D
37.36832,37.20145,367,0.41,0.45,2021-07-15,1054,1,VIIRS,l,2.0NRT,326.5,24.1,D
37.37247,37.20102,340.1,0.41,0.45,2021-07-15,1054,1,VIIRS,l,2.0NRT,314.9,24.1,D
37.37204,37.19649,348,0.41,0.45,2021-07-15,1054,1,VIIRS,n,2.0NRT,315.1,18.2,D
37.54111,38.22026,345.4,0.47,0.48,2021-07-15,1054,1,VIIRS,l,2.0NRT,315.6,16.3,D
37.74311,38.82281,347,0.51,0.49,2021-07-15,1054,1,VIIRS,n,2.0NRT,315.3,12.1,D
37.01321,32.10225,335.2,0.4,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,309.9,1.4,D
38.36606,40.81121,367,0.33,0.55,2021-07-15,1054,1,VIIRS,h,2.0NRT,309.8,38.2,D
38.36558,40.80341,336.2,0.33,0.55,2021-07-15,1054,1,VIIRS,n,2.0NRT,305.8,60.7,D
39.76161,30.53473,339,0.39,0.36,2021-07-15,1054,1,VIIRS,l,2.0NRT,311.7,2.7,D
40.76297,32.21905,335.3,0.42,0.38,2021-07-15,1054,1,VIIRS,l,2.0NRT,310.1,2.9,D
40.44394,27.14432,337.1,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,310.2,5.4,D
40.44563,27.13378,338.6,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,311.9,2.8,D
41.25268,31.41493,340.3,0.41,0.37,2021-07-15,1054,1,VIIRS,n,2.0NRT,305.9,6.4,D
41.26409,31.42221,333.6,0.41,0.37,2021-07-15,1054,1,VIIRS,l,2.0NRT,308.3,6.2,D
41.01838,28.55466,336.3,0.39,0.36,2021-07-15,1054,1,VIIRS,l,2.0NRT,310.3,2.5,D
