STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/1/2024,-43,-33,-50
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/2/2024,-46,-40,-49
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/3/2024,-46,-39,-50
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/4/2024,-30,-8,-48
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/5/2024,-8,0,-14
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/6/2024,-2,4,-10
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/7/2024,-4,3,-11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/8/2024,-6,3,-12
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/9/2024,7,13,-7
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/10/2024,12,19,5
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/11/2024,17,28,4
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/12/2024,9,18,-2
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/13/2024,20,23,18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/14/2024,26,30,12
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/15/2024,17,25,9
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/16/2024,10,23,1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/17/2024,4,15,-4
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/18/2024,11,13,4
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/19/2024,12,14,11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/20/2024,15,22,11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/21/2024,19,26,7
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/22/2024,17,22,12
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/23/2024,12,20,1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/24/2024,8,11,3
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/25/2024,4,9,1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/26/2024,-8,0,-22
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/27/2024,-16,-3,-26
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/28/2024,-20,-10,-28
USR0000AKAN,"KANUTI NWR ALASKA, AK US",2/29/2024,-25,-15,-35
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/1/2024,-27,-16,-36
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/2/2024,-24,-12,-36
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/3/2024,-6,1,-19
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/4/2024,7,12,1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/5/2024,10,15,1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/6/2024,3,11,-8
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/7/2024,1,11,-9
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/8/2024,-6,3,-18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/9/2024,-12,1,-22
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/10/2024,-14,-2,-32
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/11/2024,-6,-1,-11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/12/2024,-7,2,-15
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/13/2024,-7,5,-18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/14/2024,-7,6,-20
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/15/2024,-7,4,-20
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/16/2024,-1,6,-10
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/17/2024,4,7,-1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/18/2024,6,13,-6
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/19/2024,7,19,-8
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/20/2024,20,27,11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/21/2024,24,30,18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/22/2024,29,41,9
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/23/2024,31,39,17
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/24/2024,33,40,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/25/2024,31,41,26
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/26/2024,30,37,24
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/27/2024,32,38,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/28/2024,26,31,21
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/29/2024,23,32,11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/30/2024,30,38,22
USR0000AKAN,"KANUTI NWR ALASKA, AK US",3/31/2024,25,35,13
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/1/2024,12,19,0
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/2/2024,1,12,-11
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/3/2024,9,19,-8
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/4/2024,22,31,9
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/5/2024,30,39,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/6/2024,29,36,18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/7/2024,24,32,17
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/8/2024,17,22,12
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/9/2024,15,26,-2
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/10/2024,20,33,-1
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/11/2024,32,38,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/12/2024,32,45,18
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/13/2024,20,29,12
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/14/2024,21,30,10
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/15/2024,31,37,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/16/2024,36,42,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/17/2024,36,46,20
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/18/2024,43,53,33
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/19/2024,45,55,30
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/20/2024,42,56,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/21/2024,40,52,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/22/2024,39,54,24
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/23/2024,41,51,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/24/2024,41,52,24
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/25/2024,43,52,32
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/26/2024,40,49,26
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/27/2024,36,45,26
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/28/2024,35,45,21
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/29/2024,39,50,28
USR0000AKAN,"KANUTI NWR ALASKA, AK US",4/30/2024,35,43,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/1/2024,31,37,23
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/2/2024,29,37,20
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/3/2024,34,42,24
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/4/2024,33,40,25
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/5/2024,30,38,22
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/6/2024,33,45,19
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/7/2024,39,49,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/8/2024,42,50,32
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/9/2024,39,47,30
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/10/2024,39,50,31
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/11/2024,41,53,27
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/12/2024,44,54,28
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/13/2024,42,56,28
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/14/2024,42,55,31
USR0000AKAN,"KANUTI NWR ALASKA, AK US",5/15/2024,50,63,28
