"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-01",,,"58","H,,S","66",",,S","50",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-02",,,"58","H,,S","69",",,S","47",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-03",,,"61","H,,S","71",",,S","50",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-04",,,"61","H,,S","71",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-05",,,"62","H,,S","71",",,S","54",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-06",,,"64","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-07",,,"66","H,,S","77",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-08",,,"67","H,,S","80",",,S","58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-09",,,"67","H,,S","78",",,S","60",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-10",,,"67","H,,S","76",",,S","58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-11",,,"67","H,,S","78",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-12",,,"66","H,,S","78",",,S","51",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-13",,,"68","H,,S","79",",,S","55",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-14",,,"67","H,,S","77",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-15",,,"68","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-16",,,"64","H,,S","76",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-17",,,"64","H,,S",,,"54",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-18",,,"65","H,,S","75",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-19",,,"64","H,,S","73",",,S","57",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-20",,,"65","H,,S",,,"57",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-21",,,"66","H,,S","76",",,S","57",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-22",,,"66","H,,S","74",",,S","56",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-23",,,"68","H,,S","74",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-24",,,"71","H,,S","80",",,S","63",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-25",,,"67","H,,S","78",",,S","58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-26",,,"68","H,,S","83",",,S","55",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-27",,,"67","H,,S","74",",,S","59",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-28",,,"68","H,,S","79",",,S","60",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-02-29",,,"70","H,,S","82",",,S","59",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-01",,,"73","H,,S","83",",,S","58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-02",,,"72","H,,S","85",",,S","60",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-03",,,"69","H,,S","78",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-04",,,"69","H,,S","79",",,S","60",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-05",,,"70","H,,S","82",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-06",,,"74","H,,S",,,"61",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-07",,,"69","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-08",,,"69","H,,S","78",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-09",,,"69","H,,S","79",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-10",,,"70","H,,S","81",",,S","62",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-11",,,"68","H,,S","79",",,S","59",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-12",,,"71","H,,S",,,"57",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-13",,,"73","H,,S","87",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-14",,,"76","H,,S","84",",,S","67",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-15",,,"71","H,,S","81",",,S","63",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-16",,,"72","H,,S","82",",,S","61",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-17",,,"74","H,,S",,,"61",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-18",,,"70","H,,S","78",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-19",,,"68","H,,S","76",",,S","60",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-20",,,"68","H,,S","80",",,S","57",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-21",,,"75","H,,S","87",",,S","62",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-22",,,"69","H,,S","79",",,S","62",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-23",,,"69","H,,S","77",",,S","55",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-24",,,"67","H,,S","76",",,S","58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-25",,,"67","H,,S",,,"58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-26",,,"67","H,,S","83",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-27",,,"78","H,,S",,,"61",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-01",,,"79","H,,S","96",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-02",,,"77","H,,S",,,,
